英単語,日本語意味
apple,りんご
book,本
cat,猫
dog,犬
elephant,象
fish,魚
grape,ぶどう
house,家
ice,氷
juice,ジュース
king,王
lemon,レモン
milk,牛乳
note,メモ
orange,オレンジ
pen,ペン
queen,女王
river,川
sun,太陽
tree,木
umbrella,傘
violin,バイオリン
water,水
xylophone,木琴
yellow,黄色
zoo,動物園
ball,ボール
car,車
desk,机
egg,卵
flower,花
game,ゲーム
hat,帽子
island,島
jacket,上着
key,鍵
lion,ライオン
moon,月
nurse,看護師
ocean,海
pig,豚
quiet,静かな
rain,雨
school,学校
train,列車
uncle,おじ
village,村
window,窓
yard,庭
zero,ゼロ
bag,かばん
chair,いす
door,ドア
ear,耳
family,家族
garden,庭園
hand,手
idea,考え
job,仕事
kind,親切な
leg,脚
mother,母
name,名前
open,開ける
parent,親
quick,速い
red,赤
sister,姉妹
table,テーブル
under,下に
very,とても
white,白
year,年
animal,動物
brother,兄弟
child,子ども
doctor,医者
eye,目
friend,友達
good,良い
happy,幸せな
important,重要な
juice,ジュース
kitchen,台所
long,長い
music,音楽
new,新しい
old,古い
play,遊ぶ
question,質問
run,走る
small,小さい
teacher,先生
use,使う
visit,訪れる
walk,歩く
watch,見る
young,若い
